observation_id,year,session_date,evidence_type,stated_local_time,local_timezone,normalized_utc,value_numeric,unit,normalized_value_c,stated_value_text,session_semantics,source_title,source_url,source_class,evidence_quality,measurement_semantics,observation_status,evidence_context,local_asset,review_note
PTSC2020-0350,2020,2020-08-15,TRACK_TEMPERATURE,15:30:00,America/Indiana/Indianapolis,2020-08-15T19:30:00Z,128.0,degF,53.333333333333336,128°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 350; selected date-block occurrence 1; sensor average 127.525°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0351,2020,2020-08-15,TRACK_TEMPERATURE,15:45:00,America/Indiana/Indianapolis,2020-08-15T19:45:00Z,130.0,degF,54.44444444444444,130°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 351; selected date-block occurrence 1; sensor average 130.22500000000002°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0352,2020,2020-08-15,TRACK_TEMPERATURE,16:00:00,America/Indiana/Indianapolis,2020-08-15T20:00:00Z,130.0,degF,54.44444444444444,130°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 352; selected date-block occurrence 1; sensor average 129.825°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0353,2020,2020-08-15,TRACK_TEMPERATURE,16:15:00,America/Indiana/Indianapolis,2020-08-15T20:15:00Z,126.0,degF,52.22222222222222,126°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 353; selected date-block occurrence 1; sensor average 126.15°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0354,2020,2020-08-15,TRACK_TEMPERATURE,16:30:00,America/Indiana/Indianapolis,2020-08-15T20:30:00Z,126.0,degF,52.22222222222222,126°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 354; selected date-block occurrence 1; sensor average 126.4°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0355,2020,2020-08-15,TRACK_TEMPERATURE,16:45:00,America/Indiana/Indianapolis,2020-08-15T20:45:00Z,128.0,degF,53.333333333333336,128°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 355; selected date-block occurrence 1; sensor average 127.975°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0356,2020,2020-08-15,TRACK_TEMPERATURE,16:50:00,America/Indiana/Indianapolis,2020-08-15T20:50:00Z,127.0,degF,52.77777777777778,127°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 356; selected date-block occurrence 1; sensor average 126.75°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0342,2021,2021-05-22,TRACK_TEMPERATURE,08:45:00,America/Indiana/Indianapolis,2021-05-22T12:45:00Z,76.0,degF,24.444444444444443,76°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 342; selected date-block occurrence 1; sensor average 75.5°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0343,2021,2021-05-22,TRACK_TEMPERATURE,09:15:00,America/Indiana/Indianapolis,2021-05-22T13:15:00Z,78.0,degF,25.555555555555557,78°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 343; selected date-block occurrence 1; sensor average 78.075°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0344,2021,2021-05-22,TRACK_TEMPERATURE,09:30:00,America/Indiana/Indianapolis,2021-05-22T13:30:00Z,79.0,degF,26.11111111111111,79°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 344; selected date-block occurrence 1; sensor average 78.85°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0345,2021,2021-05-22,TRACK_TEMPERATURE,09:45:00,America/Indiana/Indianapolis,2021-05-22T13:45:00Z,80.0,degF,26.666666666666668,80°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 345; selected date-block occurrence 1; sensor average 79.75°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0346,2021,2021-05-22,TRACK_TEMPERATURE,10:00:00,America/Indiana/Indianapolis,2021-05-22T14:00:00Z,80.0,degF,26.666666666666668,80°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 346; selected date-block occurrence 1; sensor average 80.1°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0347,2021,2021-05-22,TRACK_TEMPERATURE,10:15:00,America/Indiana/Indianapolis,2021-05-22T14:15:00Z,82.0,degF,27.77777777777778,82°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 347; selected date-block occurrence 1; sensor average 81.525°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0348,2021,2021-05-22,TRACK_TEMPERATURE,10:30:00,America/Indiana/Indianapolis,2021-05-22T14:30:00Z,83.0,degF,28.333333333333332,83°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 348; selected date-block occurrence 1; sensor average 82.675°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0349,2021,2021-05-22,TRACK_TEMPERATURE,11:45:00,America/Indiana/Indianapolis,2021-05-22T15:45:00Z,91.0,degF,32.77777777777778,91°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 349; selected date-block occurrence 1; sensor average 91.075°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0350,2021,2021-05-22,TRACK_TEMPERATURE,12:00:00,America/Indiana/Indianapolis,2021-05-22T16:00:00Z,94.0,degF,34.44444444444444,94°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 350; selected date-block occurrence 1; sensor average 93.7°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0351,2021,2021-05-22,TRACK_TEMPERATURE,12:15:00,America/Indiana/Indianapolis,2021-05-22T16:15:00Z,94.0,degF,34.44444444444444,94°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 351; selected date-block occurrence 1; sensor average 94.225°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0352,2021,2021-05-22,TRACK_TEMPERATURE,12:30:00,America/Indiana/Indianapolis,2021-05-22T16:30:00Z,95.0,degF,35.0,95°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 352; selected date-block occurrence 1; sensor average 94.7°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0353,2021,2021-05-22,TRACK_TEMPERATURE,12:45:00,America/Indiana/Indianapolis,2021-05-22T16:45:00Z,97.0,degF,36.111111111111114,97°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 353; selected date-block occurrence 1; sensor average 96.675°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0354,2021,2021-05-22,TRACK_TEMPERATURE,13:00:00,America/Indiana/Indianapolis,2021-05-22T17:00:00Z,98.0,degF,36.666666666666664,98°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 354; selected date-block occurrence 1; sensor average 97.75°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0355,2021,2021-05-22,TRACK_TEMPERATURE,13:15:00,America/Indiana/Indianapolis,2021-05-22T17:15:00Z,101.0,degF,38.333333333333336,101°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 355; selected date-block occurrence 1; sensor average 101.45°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0356,2021,2021-05-22,TRACK_TEMPERATURE,13:30:00,America/Indiana/Indianapolis,2021-05-22T17:30:00Z,101.0,degF,38.333333333333336,101°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 356; selected date-block occurrence 1; sensor average 101.475°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0357,2021,2021-05-22,TRACK_TEMPERATURE,13:45:00,America/Indiana/Indianapolis,2021-05-22T17:45:00Z,101.0,degF,38.333333333333336,101°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 357; selected date-block occurrence 1; sensor average 100.825°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0358,2021,2021-05-22,TRACK_TEMPERATURE,14:00:00,America/Indiana/Indianapolis,2021-05-22T18:00:00Z,100.0,degF,37.77777777777778,100°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 358; selected date-block occurrence 1; sensor average 99.85°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0359,2021,2021-05-22,TRACK_TEMPERATURE,14:15:00,America/Indiana/Indianapolis,2021-05-22T18:15:00Z,100.0,degF,37.77777777777778,100°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 359; selected date-block occurrence 1; sensor average 99.9°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0360,2021,2021-05-22,TRACK_TEMPERATURE,14:30:00,America/Indiana/Indianapolis,2021-05-22T18:30:00Z,101.0,degF,38.333333333333336,101°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 360; selected date-block occurrence 1; sensor average 100.6°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0361,2021,2021-05-22,TRACK_TEMPERATURE,14:45:00,America/Indiana/Indianapolis,2021-05-22T18:45:00Z,103.0,degF,39.44444444444444,103°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 361; selected date-block occurrence 1; sensor average 103.35°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0362,2021,2021-05-22,TRACK_TEMPERATURE,15:00:00,America/Indiana/Indianapolis,2021-05-22T19:00:00Z,109.0,degF,42.77777777777778,109°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 362; selected date-block occurrence 1; sensor average 109.275°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0363,2021,2021-05-22,TRACK_TEMPERATURE,15:15:00,America/Indiana/Indianapolis,2021-05-22T19:15:00Z,112.0,degF,44.44444444444444,112°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 363; selected date-block occurrence 1; sensor average 111.825°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0364,2021,2021-05-22,TRACK_TEMPERATURE,15:30:00,America/Indiana/Indianapolis,2021-05-22T19:30:00Z,114.0,degF,45.55555555555556,114°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 364; selected date-block occurrence 1; sensor average 114.425°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0365,2021,2021-05-22,TRACK_TEMPERATURE,15:45:00,America/Indiana/Indianapolis,2021-05-22T19:45:00Z,115.0,degF,46.111111111111114,115°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 365; selected date-block occurrence 1; sensor average 114.775°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2021-0366,2021,2021-05-22,TRACK_TEMPERATURE,16:00:00,America/Indiana/Indianapolis,2021-05-22T20:00:00Z,117.0,degF,47.22222222222222,117°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2021 Temp Archive; source row 366; selected date-block occurrence 1; sensor average 116.75°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
