year,regime,car_number,driver_name,queue_entry_time,run_time,observed_wait_minutes,lower_wait_bound_minutes,upper_wait_bound_minutes,related_attempt_interval_minutes,related_interval_lower_minutes,related_interval_upper_minutes,source,evidence_quality,evidence_class,note
2024,DAY1_LANE_UNKNOWN_REPEAT,51,Katherine Legge,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2024,DAY1_LANE_UNKNOWN_REPEAT,6,Callum Ilott,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2024,DAY1_LANE_UNKNOWN_REPEAT,6,Callum Ilott,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2024,DAY1_LANE_UNKNOWN_REPEAT,66,Tom Blomqvist,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2024,DAY1_LANE_UNKNOWN_REPEAT,7,Alexander Rossi,UNKNOWN,2024-05-18T20:37:01Z,,,,163.033333,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2024,DAY1_LANE_UNKNOWN_REPEAT,75,Takuma Sato,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,LAST_CHANCE_REATTEMPT,30,Jack Harvey,UNKNOWN,UNKNOWN,,,,,,,r5/frozen_inputs/last_chance/last_chance_attempt_chronology_22_FROZEN.csv,PARTIAL_ORDER_NO_TIME_PAIR,unavailable,"Attempt 1 to 2 is ordered, but has no queue-entry/run-start time pair."
2023,LAST_CHANCE_REATTEMPT,30,Jack Harvey,UNKNOWN,UNKNOWN,,,,,,,r5/frozen_inputs/last_chance/last_chance_attempt_chronology_22_FROZEN.csv,PARTIAL_ORDER_NO_TIME_PAIR,unavailable,"Attempt 2 to 3 is ordered, but has no queue-entry/run-start time pair."
2023,LAST_CHANCE_REATTEMPT,30,Jack Harvey,UNKNOWN,UNKNOWN,,,,,,,r5/frozen_inputs/last_chance/last_chance_attempt_chronology_22_FROZEN.csv,PARTIAL_ORDER_NO_TIME_PAIR,unavailable,"Attempt 3 to 4 is ordered, but has no queue-entry/run-start time pair."
2024,LAST_CHANCE_REATTEMPT,18,Nolan Siegel,UNKNOWN,UNKNOWN,,,,,,,r5/frozen_inputs/last_chance/last_chance_attempt_chronology_22_FROZEN.csv,PARTIAL_ORDER_NO_TIME_PAIR,unavailable,"Attempt 1 to 2 is ordered, but has no queue-entry/run-start time pair."
2024,LAST_CHANCE_REATTEMPT,28,Marcus Ericsson,UNKNOWN,UNKNOWN,,,,,,,r5/frozen_inputs/last_chance/last_chance_attempt_chronology_22_FROZEN.csv,PARTIAL_ORDER_NO_TIME_PAIR,unavailable,"Attempt 1 to 2 is ordered, but has no queue-entry/run-start time pair."
2024,DAY1_LANE_UNKNOWN_EVENT_INTERVAL,21,Rinus VeeKay,UNKNOWN,2024-05-18T19:50:00Z/2024-05-18T19:52:00Z event bound,,,,25,24,26,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv,EVENT_TO_EVENT_BOUND_NOT_QUEUE_WAIT,bounded_event_interval_only,19:26 attempt occurrence to 19:50-19:52 later event; no queue-entry observation and no lane inference.
