pair_id,year,driver_name,car_number,baseline_attempt_id,repeat_attempt_id,baseline_speed_mph,observed_repeat_delta_mph,reconstructed_repeat_speed_mph,diagnostic_recovery_like,baseline_below_year_median,diagnostic_branch,baseline_timing_usable,repeat_timing_usable,baseline_hrrr_leakage_safe,repeat_hrrr_leakage_safe,baseline_context_usable,repeat_context_usable,baseline_performance_time_utc,repeat_performance_time_utc,seconds_since_prior_supported_attempt,elapsed_time_role,pair_environment_fit_ready,causal_effect_claim_allowed,queue_wait_truth_claim,baseline_forecast_temp_c,repeat_forecast_temp_c,delta_forecast_temp_c,baseline_forecast_dewpoint_c,repeat_forecast_dewpoint_c,delta_forecast_dewpoint_c,baseline_forecast_relative_humidity_pct,repeat_forecast_relative_humidity_pct,delta_forecast_relative_humidity_pct,baseline_forecast_wind_speed_10m_ms,repeat_forecast_wind_speed_10m_ms,delta_forecast_wind_speed_10m_ms,baseline_forecast_gust_ms,repeat_forecast_gust_ms,delta_forecast_gust_ms,baseline_forecast_pressure_hpa,repeat_forecast_pressure_hpa,delta_forecast_pressure_hpa,baseline_forecast_cloud_cover_pct,repeat_forecast_cloud_cover_pct,delta_forecast_cloud_cover_pct,baseline_forecast_shortwave_radiation_wm2,repeat_forecast_shortwave_radiation_wm2,delta_forecast_shortwave_radiation_wm2,baseline_ptsc_ambient_c,repeat_ptsc_ambient_c,delta_ptsc_ambient_c,baseline_ptsc_track_c,repeat_ptsc_track_c,delta_ptsc_track_c,baseline_ptsc_humidity,repeat_ptsc_humidity,delta_ptsc_humidity,baseline_ptsc_wind,repeat_ptsc_wind,delta_ptsc_wind,baseline_ptsc_pressure,repeat_ptsc_pressure,delta_ptsc_pressure
R3B3B-026,2021,Dalton Kellett,4,099ab32a-d351-5011-931c-148b9f3d7921,a5d8e516-48e0-58b8-ac13-213c753fc12d,229.2500000000,-0.9270000000,228.3230000000,False,True,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2021-05-22T17:44:56Z,2021-05-22T21:46:39Z,14503.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,27.6665960015,28.6818115234,1.0152155219,12.0397445001,12.1456086731,0.1058641730,37.9807219114,36.0036527176,-1.9770691939,3.1850751034,2.9769549607,-0.2081201428,5.2183956246,3.9460256279,-1.2723699967,1001.0757777778,998.6110000000,-2.4647777778,100.0000000000,25.3600000000,-74.6400000000,832.5244444444,530.3825000000,-302.1419444444,27.7777777778,30.3722222222,2.5944444444,38.3333333333,44.8166666667,6.4833333333,0.4499555556,0.3800000000,-0.0699555556,2.0044444444,1.3300000000,-0.6744444444,29.5700444444,29.4900000000,-0.0800444444
R3B3B-027,2021,Simona De Silvestro,16,adc26df0-920d-5dc7-a952-03b3fb57700a,73af9176-8333-59df-915e-2cc1016f64b2,228.3950000000,-0.3820000000,228.0130000000,False,True,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2021-05-22T21:30:13Z,2021-05-22T21:50:59Z,1246.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,28.6925103082,28.6789903429,-0.0135199653,12.1925663079,12.1332263353,-0.0593399726,36.0926979054,35.9801722421,-0.1125256633,2.9502880188,2.9839868115,0.0336987926,4.0364710306,3.9221759274,-0.1142951032,998.5014444444,998.6398888889,0.1384444444,51.6533333333,18.4266666667,-33.2266666667,578.8608333333,517.5991666667,-61.2616666667,30.5555555556,UNKNOWN,UNKNOWN,45.5475308642,UNKNOWN,UNKNOWN,0.3701444444,UNKNOWN,UNKNOWN,1.9855555556,UNKNOWN,UNKNOWN,29.4998555556,UNKNOWN,UNKNOWN
R3B3B-028,2023,Marcus Ericsson,8,67f2af5c-ca4c-55e7-8c2a-5361873b43cc,fce06089-154b-512e-a547-fd144ec0961c,232.7350000000,-0.3140000000,232.4210000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2023-05-20T15:24:22Z,2023-05-20T18:14:06Z,10184.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,15.3093473646,18.5016705322,3.1923231676,7.0439888848,5.7374026489,-1.3065862359,57.9180437301,43.1672277477,-14.7508159823,4.4634530754,4.9403156420,0.4768625666,6.3637224434,6.7490852006,0.3853627572,992.8685555556,992.4410000000,-0.4275555556,1.0000000000,4.7050000000,3.7050000000,851.4080000000,989.1950000000,137.7870000000,16.6666666667,18.8888888889,2.2222222222,32.2901234568,44.9333333333,12.6432098765,0.5337555556,0.5006000000,-0.0331555556,6.1222222222,5.8200000000,-0.3022222222,29.3162444444,29.3200000000,0.0037555556
R3B3B-029,2023,Callum Ilott,77,f7e8b948-2fd0-5183-971b-aaea5c66c226,333cf68d-54d9-5559-ac70-c73c27086892,227.7200000000,3.4620000000,231.1820000000,True,True,RECOVERY_LIKE_DIAGNOSTIC,True,True,True,True,True,True,2023-05-20T16:41:46Z,2023-05-20T18:45:04Z,7398.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,17.6115307109,18.7781556532,1.1666249424,6.4642352888,6.6067547607,0.1425194719,48.1272861679,45.0710827800,-3.0562033879,4.5530149920,5.0549538391,0.5019388471,6.3114629862,6.7021759749,0.3907129888,992.9657222222,991.8240000000,-1.1417222222,1.6961111111,10.5111111111,8.8150000000,970.9376666667,966.6977777778,-4.2398888889,16.7864197531,18.8888888889,2.1024691358,39.7604938272,44.4444444444,4.6839506173,0.5535333333,0.5000000000,-0.0535333333,6.3533333333,6.0177777778,-0.3355555556,29.3200000000,29.3200000000,0.0000000000
R3B3B-030,2023,Tony Kanaan,66,09f4cf1e-3fb8-5bfc-808c-b733eb495b54,fdb7fb74-bf21-54a6-8668-36c035e40628,232.4460000000,0.1740000000,232.6200000000,False,True,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2023-05-20T16:00:52Z,2023-05-20T18:58:45Z,10673.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,16.2637811618,18.8693208059,2.6055396440,7.4188143412,7.0160270691,-0.4027872721,55.8066502937,46.0612018489,-9.7454484448,4.7532378444,5.0355719647,0.2823341202,6.7244662022,6.7065232187,-0.0179429835,993.2086666667,991.6187500000,-1.5899166667,2.9711111111,12.7916666667,9.8205555556,923.7154444444,955.9791666667,32.2637222222,16.6666666667,18.8888888889,2.2222222222,36.1753086420,44.4444444444,8.2691358025,0.5488444444,0.5000000000,-0.0488444444,9.0577777778,9.6666666667,0.6088888889,29.3200000000,29.3200000000,0.0000000000
R3B3B-031,2023,Devlin DeFrancesco,29,f10d3a91-6f0d-59f0-9ea9-4db5cf6e44b9,ab6f7ab5-b6ba-5e02-9560-f89bd35b575c,231.2730000000,0.0800000000,231.3530000000,False,True,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2023-05-20T16:23:23Z,2023-05-20T19:04:53Z,9690.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,16.7004790666,18.8885577393,2.1880786726,7.1313262304,7.0292985408,-0.1020276896,53.3178731385,46.0454444645,-7.2724286740,4.9263609999,5.1107556318,0.1843946319,6.8561050377,6.8298808899,-0.0262241478,993.4338333333,991.7058055556,-1.7280277778,2.2205555556,12.8372222222,10.6166666667,950.0974722222,946.5355555556,-3.5619166667,16.9771604938,18.7080246914,1.7308641975,38.1537037037,44.4444444444,6.2907407407,0.5300000000,0.5065111111,-0.0234888889,6.6466666667,9.0233333333,2.3766666667,29.3200000000,29.3200000000,0.0000000000
R3B3B-032,2023,Scott Dixon,9,ad6c40ac-4389-5426-b8e5-1d130ac9da81,3a0bcd66-fa08-5944-bf0b-5ec6c5a10f91,232.9140000000,0.4610000000,233.3750000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2023-05-20T15:37:44Z,2023-05-20T19:07:40Z,12596.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,15.8575257026,18.8947753906,3.0372496880,7.5196279907,7.0155530294,-0.5040749613,57.7120939552,45.9849102411,-11.7271837142,4.5388224566,5.1546169223,0.6157944657,6.7393318550,6.8999642021,0.1606323471,993.0515555556,991.7661111111,-1.2854444444,4.4844444444,12.7444444444,8.2600000000,869.6682222222,941.7111111111,72.0428888889,16.6666666667,18.6049382716,1.9382716049,33.9061728395,44.4444444444,10.5382716049,0.5300000000,0.5102222222,-0.0197777778,11.0933333333,8.4666666667,-2.6266666667,29.3200000000,29.3200000000,0.0000000000
R3B3B-033,2023,Kyle Kirkwood,27,dda33fdd-49c8-5082-a03d-252bf1a6fa49,f9f206a7-b2ab-5eb9-8805-0d279c65164d,232.3900000000,0.2270000000,232.6170000000,False,True,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2023-05-20T17:14:58Z,2023-05-20T19:17:10Z,7332.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,18.1706274245,18.9159973145,0.7453698900,5.9870631154,6.9686372121,0.9815740967,44.8514483078,45.7782964246,0.9268481169,4.7866142831,5.3043231236,0.5177088404,6.3930305092,7.1391707168,0.7461402076,993.2750555556,991.9719444444,-1.3031111111,2.2494444444,12.4277777778,10.1783333333,993.4988888889,925.2444444444,-68.2544444444,17.7777777778,18.4135802469,0.6358024691,42.2197530864,44.5246913580,2.3049382716,0.5300000000,0.5185555556,-0.0114444444,5.0022222222,7.4333333333,2.4311111111,29.3200000000,29.3200000000,0.0000000000
R3B3B-034,2023,Ed Carpenter,33,04dd64f3-9175-537b-b611-47d98856e4b7,2b14c17d-769c-504e-819b-55270bb93b13,232.6200000000,-0.1090000000,232.5110000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2023-05-20T16:05:13Z,2023-05-20T19:25:49Z,12036.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,16.3481469303,18.9353204346,2.5871735043,7.3632744471,6.9259191259,-0.4373553212,55.3258428640,45.5901691076,-9.7356737564,4.7866835466,5.4406345594,0.6539510129,6.7498975390,7.3569745433,0.6070770043,993.2521666667,992.1593611111,-1.0928055556,2.8261111111,12.1394444444,9.3133333333,928.8121944444,910.2511111111,-18.5610833333,16.6666666667,18.7339506173,2.0672839506,36.4975308642,44.8450617284,8.3475308642,0.5430444444,0.5127888889,-0.0302555556,9.3477777778,9.1633333333,-0.1844444444,29.3200000000,29.3200000000,0.0000000000
R3B3B-035,2023,Takuma Sato,11,55b6b39a-d64a-5a38-9dbc-84a9faac294b,dd0ff96a-0d57-5ba5-8691-ebf2359edec4,232.8570000000,0.4650000000,233.3220000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2023-05-20T16:51:32Z,2023-05-20T19:48:58Z,10646.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,17.8417931112,18.6753524102,0.8335592990,6.2887082079,7.4601391008,1.1714308929,46.8074032756,48.0568870827,1.2494838071,4.6288063407,5.9095166423,1.2807103017,6.2687419974,7.9600700519,1.6913280544,993.1447777778,992.6528888889,-0.4918888889,1.8588888889,14.1033333333,12.2444444444,982.7553333333,842.1700000000,-140.5853333333,17.1506172840,18.8888888889,1.7382716049,40.4839506173,44.4444444444,3.9604938272,0.5469333333,0.5152888889,-0.0316444444,6.5644444444,6.6777777778,0.1133333333,29.3200000000,29.3200000000,0.0000000000
R3B3B-036,2023,Marcus Ericsson,8,67f2af5c-ca4c-55e7-8c2a-5361873b43cc,79d389ee-b055-582a-8985-c09472aa4d69,232.7350000000,0.2950000000,233.0300000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2023-05-20T15:24:22Z,2023-05-20T19:57:53Z,6227.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,15.3093473646,18.6477508714,3.3384035068,7.0439888848,7.4419368702,0.3979479853,57.9180437301,48.0800851730,-9.8379585571,4.4634530754,6.0210274107,1.5575743353,6.3637224434,8.1439963236,1.7802738802,992.8685555556,992.7717777778,-0.0967777778,1.0000000000,13.2116666667,12.2116666667,851.4080000000,823.4450000000,-27.9630000000,16.6666666667,18.8888888889,2.2222222222,32.2901234568,44.4444444444,12.1543209877,0.5337555556,0.5271777778,-0.0065777778,6.1222222222,3.7055555556,-2.4166666667,29.3162444444,29.3200000000,0.0037555556
R3B3B-037,2023,Kyle Kirkwood,27,f9f206a7-b2ab-5eb9-8805-0d279c65164d,970e09d9-9783-53a2-ac70-f2117bee1d09,232.6170000000,0.0450000000,232.6620000000,False,True,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2023-05-20T19:17:10Z,2023-05-20T20:10:26Z,3196.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,18.9159973145,18.6239626736,-0.2920346408,6.9686372121,7.3253746372,0.3567374251,45.7782964246,47.7739616872,1.9956652625,5.3043231236,5.9817765679,0.6774534443,7.1391707168,8.1505104890,1.0113397722,991.9719444444,992.8347777778,0.8628333333,12.4277777778,13.5216666667,1.0938888889,925.2444444444,799.3505555556,-125.8938888889,18.4135802469,18.8888888889,0.4753086420,44.5246913580,44.4444444444,-0.0802469136,0.5185555556,0.5230444444,0.0044888889,7.4333333333,7.1733333333,-0.2600000000,29.3200000000,29.3200000000,0.0000000000
R3B3B-038,2023,Tony Kanaan,66,fdb7fb74-bf21-54a6-8668-36c035e40628,d1af19f4-254b-5058-b545-543906d4584e,232.6200000000,0.7270000000,233.3470000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2023-05-20T18:58:45Z,2023-05-20T20:33:51Z,5706.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,18.8693208059,18.2881980642,-0.5811227417,7.0160270691,7.4038748296,0.3878477605,46.0612018489,49.0978368959,3.0366350470,5.0355719647,5.5580895654,0.5225176008,6.7065232187,7.6567278282,0.9502046095,991.6187500000,992.6615000000,1.0427500000,12.7916666667,21.3316666667,8.5400000000,955.9791666667,699.6875000000,-256.2916666667,18.8888888889,18.8888888889,0.0000000000,44.4444444444,44.3018518519,-0.1425925926,0.5000000000,0.5174333333,0.0174333333,9.6666666667,7.0266666667,-2.6400000000,29.3200000000,29.3200000000,0.0000000000
R3B3B-039,2023,Ed Carpenter,33,04dd64f3-9175-537b-b611-47d98856e4b7,55035890-97e8-57a3-a2e1-4845f4b05eb9,232.6200000000,0.0690000000,232.6890000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2023-05-20T16:05:13Z,2023-05-20T20:47:30Z,4901.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,16.3481469303,18.3384427389,1.9902958086,7.3632744471,7.1329583486,-0.2303160985,55.3258428640,48.0295047374,-7.2963381266,4.7866835466,5.4443070433,0.6576234968,6.7498975390,7.5427755664,0.7928780274,993.2521666667,992.5250000000,-0.7271666667,2.8261111111,15.4166666667,12.5905555556,928.8121944444,682.6250000000,-246.1871944444,16.6666666667,18.8888888889,2.2222222222,36.4975308642,43.5185185185,7.0209876543,0.5430444444,0.5116666667,-0.0313777778,9.3477777778,9.6666666667,0.3188888889,29.3200000000,29.3200000000,0.0000000000
